Pais/Año,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Valor máximo,Valor mínimo,Media,Mediana,Desviación estándar,Varianza
Austria,8.18891,8.21546,7.78647,7.6471,7.89966,8.03815,7.78959,7.74053,7.70847,7.60156,7.50643,7.44897,7.33649,7.18872,7.17001,7.10385,7.07716,7.1183,7.22572,7.24478,7.09442,7.14613,7.07738,7.05912,7.18351,7.16799,8.21546,7.05912,7.465695,7.33649,0.372133971518,1.70292984971
Belgium,12.24871,12.09468,12.07956,12.20292,12.07021,12.27869,12.19529,12.19569,11.99279,12.20385,11.35062,11.13217,10.99997,10.62675,10.53433,10.31248,10.09734,10.27761,10.12936,10.28806,10.2358,10.14034,9.91106,9.90448,10.10703,10.00278,12.27869,9.90448,11.0641335714,10.99997,0.917230427755,4.02695854102
Bulgaria,12.12718,10.49947,9.1166,7.78835,6.77294,5.71602,5.42639,5.47229,4.93394,5.26544,4.98747,4.78646,4.93169,4.82731,5.27721,4.96306,4.84577,4.70161,4.9521,4.77211,5.24513,4.89707,5.01711,5.49768,5.0849,5.9378,12.12718,4.70161,6.09542464286,5.24513,2.07697358627,4.67167612969
Switzerland,6.78039,6.74419,6.62943,6.52728,6.51333,6.48881,6.44621,6.26112,6.2179,6.12381,6.10821,6.17037,6.136,6.05877,6.0364,6.07777,6.11185,6.1681,6.27346,6.19387,6.2135,6.15944,6.12636,6.05997,6.15049,6.07442,6.78039,6.0364,6.27386571429,6.17037,0.225989472036,1.18995729898
Cyprus,0.53102,0.5333,0.58238,0.62022,0.6063,0.66642,0.64537,0.63146,0.65108,0.62866,0.63231,0.69097,0.71735,0.70355,0.68198,0.62416,0.64741,0.64389,0.61678,0.61174,0.63748,0.61921,0.59381,0.55018,0.53775,0.5593,0.71735,0.53102,0.621873214286,0.62416,0.052131624339,0.0127661156357
Czech Republic,17.04998,14.77605,12.83741,11.35839,10.31536,10.24564,9.97798,9.59314,9.20265,9.27162,8.97575,9.08241,8.85549,8.38858,8.58303,8.25749,8.11166,8.26507,8.38273,7.92992,7.76198,7.90413,7.89579,8.12887,8.28062,8.48299,17.04998,7.76198,9.74023892857,8.85549,2.47915057268,7.58047259982
Germany (until 1990 former territory of the FRG),79.58156,71.95954,69.4962,68.4215,66.51476,67.95222,67.9528,67.04522,67.03391,67.84747,67.56278,67.12501,65.02557,64.08043,64.01291,63.44645,62.55962,61.9729,64.32779,63.66435,62.85335,64.53751,64.07653,65.24218,66.59089,66.95517,79.58156,61.9729,66.7640385714,66.59089,4.1173564648,138.899532322
Denmark,12.63082,12.45681,12.28149,12.23157,12.07476,12.07922,11.65968,11.66939,11.68238,11.31437,11.2279,11.22488,11.30285,11.04616,10.98324,10.78798,10.52538,10.75022,10.69369,10.40689,10.32604,10.32839,10.2743,10.27798,10.39955,10.29862,12.63082,10.2743,11.20856,11.20856,0.762829348312,3.96937947664
Estonia,2.66972,2.53699,2.13381,1.64788,1.49358,1.3261,1.22366,1.23217,1.2525,1.0795,1.07802,1.09055,1.02938,1.08134,1.12178,1.12909,1.12375,1.17945,1.23616,1.17328,1.19237,1.21835,1.3074,1.30352,1.34193,1.33762,2.66972,1.02938,1.40139285714,1.23217,0.46092579657,0.232880244441
Greece,10.12079,10.1441,9.86857,9.31484,9.11926,9.46584,9.52764,9.44303,9.41875,9.34604,9.12474,9.10903,9.13275,9.09906,9.13904,8.93641,8.83992,8.97178,8.71516,8.49716,8.81594,8.57471,8.44656,8.38053,8.29491,8.30997,10.1441,8.29491,9.09269785714,9.10903,0.526060704465,2.55906979125
Spain,34.75516,33.81888,33.55387,32.56367,33.9928,34.02203,36.67697,36.38954,37.50838,38.45957,39.9988,39.30684,38.86027,40.51929,39.62937,37.35967,36.66901,37.84212,34.78788,35.40355,34.71201,34.23616,33.1137,33.37332,34.89925,35.97859,40.51929,32.56367,36.1254878571,35.97859,2.38199568154,41.0255100302
European Union (28 countries),548.26951,518.33737,496.29008,483.64686,476.56656,478.12083,478.76918,477.24,473.30513,470.8331,464.47212,457.86817,451.28758,447.07497,446.83257,439.84869,436.90224,439.12858,436.43472,431.17481,425.54898,426.28143,423.75721,426.67976,433.85316,436.74831,548.26951,423.75721,460.617808571,451.28758,33.1513191054,6759.55612018
Finland,7.5253,7.00727,6.49064,6.75646,6.8541,6.83779,6.78749,6.80554,6.62073,6.5099,6.46633,6.51177,6.61573,6.47698,6.43447,6.4573,6.41482,6.39074,6.46937,6.48793,6.57622,6.41069,6.37321,6.48394,6.5108,6.48097,7.5253,6.37321,6.63053571429,6.5099,0.287579218562,1.33441800685
France,83.10455,82.62707,81.2481,80.2094,79.7883,80.56337,81.44809,81.86948,82.04818,82.42847,83.69604,83.12712,81.84954,79.33678,79.46075,78.60181,78.62658,79.53412,79.98868,79.15097,77.78083,77.36201,77.05912,75.83211,78.86091,78.37294,83.69604,75.83211,80.1251239286,79.98868,2.15266137015,194.255405631
Croatia,4.03908,3.92971,3.5089,3.31855,3.12824,3.00823,2.96637,3.09336,2.8601,2.9179,2.88795,3.0151,2.92678,2.84991,3.05424,3.02967,2.97648,2.92035,2.90942,2.79626,2.7175,2.78556,2.70464,2.53699,2.42705,2.55532,4.03908,2.42705,3.01177821429,2.92678,0.400947075287,0.36790327172
Hungary,9.97564,8.38994,7.183,6.34146,6.23817,5.94258,5.99325,5.97131,6.17443,6.21801,6.10063,6.28397,6.31711,6.14384,6.40991,6.07182,6.05567,6.05196,6.0735,5.72263,5.64244,5.88138,5.94519,6.34013,6.4939,6.67635,9.97564,5.64244,6.50915357143,6.17443,1.05500410426,2.00198352342
Ireland,20.14482,20.24044,20.29419,20.34992,20.35749,20.76283,21.16999,21.31309,21.70654,21.29362,20.29516,19.99611,19.66094,19.84315,19.57203,19.24876,18.93299,18.6294,18.46463,18.2786,18.34923,17.74811,18.09493,18.92395,18.88249,19.22711,21.70654,17.74811,19.6869703571,19.6869703571,1.12037491649,11.9759907851
Iceland,0.64647,0.62515,0.60398,0.60853,0.61421,0.59049,0.6041,0.59781,0.6084,0.61326,0.59605,0.5961,0.5785,0.57089,0.56086,0.56561,0.58902,0.6065,0.61933,0.60466,0.59692,0.5774,0.60078,0.58785,0.62624,0.61577,0.64647,0.56086,0.600436071429,0.60078,0.021091927375,0.0109087577209
Italy,35.60099,36.28263,35.72913,36.08201,35.71857,35.5684,35.32027,35.98882,35.4006,35.83931,34.91439,34.36638,33.72947,33.64031,33.37668,32.71168,32.33612,32.97921,31.99135,31.33052,30.52661,30.86156,31.45539,30.25261,29.75788,29.95342,36.28263,29.75788,33.4912435714,33.64031,2.17967962759,35.2135170597
Liechtenstein,0.02551,0.02553,0.02485,0.02376,0.02386,0.02368,0.02389,0.02354,0.02304,0.02209,0.02148,0.02253,0.02287,0.02301,0.02299,0.02356,0.02457,0.02491,0.02512,0.025,0.02418,0.02491,0.02513,0.02402,0.02439,0.02409,0.02553,0.02148,0.0239114285714,0.0239114285714,0.00110265653246,1.74172156986e-05
Lithuania,8.85348,8.6737,6.60715,5.36222,4.75058,4.44238,4.61359,4.64852,4.53624,4.27275,4.15697,4.0546,4.22685,4.33991,4.38773,4.42046,4.39609,4.48855,4.34016,4.38111,4.32922,4.34541,4.37952,4.35733,4.52973,4.6003,8.85348,4.0546,4.97866535714,4.42046,1.35808449036,2.1899192973
Luxembourg,0.71441,0.7249,0.70113,0.6943,0.67637,0.69777,0.70409,0.70039,0.69893,0.70484,0.69538,0.68124,0.66734,0.63359,0.6472,0.63584,0.62726,0.64142,0.65535,0.65886,0.66817,0.662,0.6425,0.65825,0.66653,0.68083,0.7249,0.62726,0.674680357143,0.674680357143,0.0280384324909,0.0138142521325
Latvia,5.37068,4.97809,3.91839,2.84169,2.54643,2.38304,2.35535,2.34031,2.23678,2.04754,2.08138,2.20184,2.18359,2.2348,2.16801,2.24576,2.25368,2.34746,2.32577,2.35379,2.376,2.39587,2.50649,2.57033,2.66332,2.73964,5.37068,2.04754,2.71729464286,2.35535,0.912087240687,0.905443001713
Malta,0.07713,0.07945,0.08058,0.07968,0.0768,0.07238,0.07326,0.074,0.07102,0.07265,0.07503,0.07176,0.0724,0.07078,0.07224,0.07451,0.0738,0.07516,0.07268,0.07038,0.06891,0.0665,0.06724,0.06699,0.06631,0.0659,0.08058,0.0659,0.0726435714286,0.0726435714286,0.00422098425669,0.000163391312786
Netherlands,25.31477,25.63453,25.64922,25.4576,24.48838,24.52835,24.16989,24.10622,22.88178,22.36835,21.24378,20.76288,19.57638,19.17587,19.01946,18.82276,18.80684,18.55654,18.61991,18.4741,18.49531,18.17386,17.97034,18.44722,18.6167,19.21026,25.64922,17.97034,21.1496735714,19.57638,2.82646401762,18.1522404863
Norway,4.82394,4.75595,4.72859,4.72161,4.72369,4.70888,4.80324,4.74587,4.73903,4.75625,4.61118,4.55868,4.5375,4.61193,4.58097,4.58896,4.50404,4.49759,4.48464,4.46995,4.39422,4.36774,4.38943,4.43518,4.50006,4.54787,4.82394,4.36774,4.59923821429,4.58896,0.139072959882,0.639633651768
Poland,47.1556,40.11967,36.52326,35.21083,34.78391,34.73258,34.00684,34.59123,34.33588,32.59607,31.00577,30.61499,29.92956,29.36419,29.35421,29.51199,30.2211,30.85409,30.92818,30.23231,29.71772,30.08815,29.9562,30.49788,30.47243,29.64989,47.1556,29.35421,32.9630121429,30.85409,4.59137735189,45.4048540102
Portugal,6.98116,7.00115,6.89062,6.8376,6.86385,6.90312,7.09971,7.12395,7.07069,7.20326,7.34364,7.11347,7.00725,6.55293,6.66375,6.613,6.55188,6.6811,6.63012,6.54158,6.47212,6.43658,6.48131,6.46834,6.56604,6.62353,7.34364,6.43658,6.80364178571,6.80364178571,0.271736582828,1.40337719449
Romania,34.2221,27.61283,24.59907,24.63564,23.46559,23.48456,22.67356,21.19096,20.36559,19.14767,18.45603,18.58083,18.89292,19.45189,20.30275,20.50581,20.52275,20.61375,20.26146,19.60596,17.50579,17.77404,17.62342,18.19388,18.19023,18.61303,34.2221,17.50579,21.365,20.30275,4.18840722024,26.1491865935
Sweden,7.61483,7.31244,7.23902,7.63305,7.69929,7.98251,7.61283,7.87351,7.60193,7.71879,7.80474,7.2603,7.39326,7.39975,7.09116,7.09657,7.2521,6.86915,6.96836,6.71578,6.79998,7.17139,6.67975,6.90033,6.97581,6.89467,7.98251,6.67975,7.29369857143,7.2603,0.385685188816,1.63319294359
Slovenia,1.92289,1.80784,1.9207,1.80553,1.82013,1.8284,1.7725,1.73629,1.77335,1.78731,1.87369,1.85117,1.91172,1.81594,1.75399,1.77429,1.76861,1.82395,1.73962,1.75324,1.72016,1.69647,1.67931,1.6625,1.70755,1.74351,1.92289,1.6625,1.78700178571,1.77429,0.0728813891173,0.0968184874537
Slovakia,6.58701,5.67313,4.84684,4.21504,4.03436,4.12187,4.03285,3.97612,3.66583,3.38821,3.37874,3.39824,3.41703,3.27344,3.03622,3.02166,2.95114,3.01418,2.90463,2.79828,2.81338,2.80624,2.89052,2.97082,3.04713,3.01446,6.58701,2.79828,3.66652357143,3.37874,1.01787896179,1.2200728263
Turkey,44.82389,45.82249,46.06866,46.76156,44.03972,43.35099,44.19038,42.14631,43.73532,44.35957,42.5044,39.84201,37.96145,41.15173,42.22809,43.3354,44.79726,44.38254,42.14882,43.35879,45.7757,48.1451,53.77007,57.19829,57.23345,57.42212,57.42212,37.96145,45.7834885714,44.35957,5.37611945037,78.8211576247
United Kingdom,53.1612,53.20732,53.12377,52.01945,52.41637,52.47032,52.89387,52.42444,51.8717,51.30037,49.55163,46.97911,46.71791,46.90971,46.89488,46.08436,45.63732,44.93451,44.02415,43.83067,44.11486,44.0136,43.5345,43.7983,44.69803,44.61535,53.20732,43.5345,48.1417685714,46.90971,3.66653248137,74.6454478373
