Pais/Año,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Valor máximo,Valor mínimo,Media,Mediana,Desviación estándar,Varianza,Longitud,Latitud
Austria,79.70019,83.63543,77.01375,77.12012,77.69987,81.15693,84.51364,84.03659,83.38504,81.72971,82.24676,86.25302,87.80772,93.37581,93.41681,94.62197,91.8685,89.27092,89.12791,82.16195,87.13005,84.88819,82.13249,82.14652,78.3789,81.00049,94.62197,77.01375,84.5519642857,83.63543,5.20185560217,222.594086202,14.550072,47.516231
Belgium,148.79163,147.99721,147.88603,146.88134,154.71094,157.26726,161.39368,153.1432,158.77325,152.96377,154.19172,152.13082,150.99341,151.62596,152.90203,148.68098,146.27785,142.83935,143.15407,129.91257,136.64248,126.27003,123.11367,123.26707,118.14961,121.64189,161.39368,118.14961,143.969468214,147.99721,12.9239765323,698.835514897,4.469936,50.503887
Bulgaria,104.37294,82.49572,78.27992,77.57032,73.78592,75.31556,75.17786,71.59081,67.47588,60.51239,59.61143,62.77832,59.88056,64.444,63.58753,64.26321,64.80383,68.69616,67.38378,58.20331,60.81133,66.13029,61.01338,55.81253,58.02172,62.02112,104.37294,55.81253,68.7223317857,64.80383,11.7109893113,233.724735227,25.48583,42.733883
Switzerland,56.86018,58.69823,58.57869,56.03751,55.12425,56.20908,57.07783,55.95957,57.74779,57.78887,57.25005,58.56687,56.62411,57.40572,57.83035,58.49555,58.30139,56.61852,58.46465,56.96004,58.76428,54.98178,56.42059,57.39329,53.51149,53.09387,58.76428,53.09387,56.8793821429,57.07783,1.58720842175,97.8996516312,8.227511999999999,46.818188
Cyprus,6.36104,6.99569,7.40828,7.57899,7.84188,7.85666,8.11784,8.23461,8.60357,8.88329,9.16521,9.26527,9.46413,9.92401,10.06752,10.15927,10.42867,10.75302,10.96645,10.69787,10.4173,10.14404,9.60743,8.83117,9.20654,9.18877,10.96645,6.36104,9.05342892857,9.18877,1.28833065054,3.49075460624,33.429859,35.126413
Czech Republic,198.47704,179.59436,172.8852,164.94652,157.16965,157.61561,159.59394,155.92297,149.93692,140.70544,149.97398,149.62383,145.97508,149.47062,150.50245,148.59182,150.32354,151.79611,147.29018,138.82599,140.55869,138.82065,135.3576,131.42161,127.49907,128.82067,198.47704,127.49907,151.702701786,149.93692,17.2790532486,852.531717315,15.472962,49.81749199999999
Germany (until 1990 former territory of the FRG),1262.98832,1215.67463,1166.12157,1157.80411,1138.69948,1135.74822,1154.41571,1120.28488,1095.15177,1063.23053,1062.23902,1076.76188,1055.64015,1052.93255,1037.0295,1014.86251,1023.36728,997.40966,1000.00048,931.56234,965.96978,945.39602,951.84504,970.71861,928.82576,926.47901,1262.98832,926.47901,1058.59379071,1055.64015,95.9048378238,37826.5455572,10.451526,51.165691
Denmark,72.10436,82.65967,76.72238,79.0223,83.07797,80.12345,93.30767,83.81271,79.91688,77.49911,73.12215,74.75028,74.01778,79.08148,73.24712,68.931,76.66148,72.09553,68.45298,65.23439,65.64261,60.47896,55.65677,57.48871,53.5088,50.98362,93.30767,50.98362,72.2104089286,73.24712,10.8696749712,231.932503575,9.501785,56.26392
Estonia,40.51041,37.35256,27.29051,21.36564,22.06292,20.26732,20.96615,20.60983,19.00003,17.67368,17.3774,17.76152,17.2265,19.11618,19.41358,19.30258,18.54541,22.32821,20.08309,16.77784,21.2558,21.28527,20.23125,21.9435,21.20445,18.11485,40.51041,16.77784,22.0126689286,20.26732,6.21989201341,45.1678361103,25.0136071,58.595272
Greece,105.57734,105.30585,106.64844,106.38352,109.62169,111.79406,114.82991,119.65883,125.37928,125.87001,128.87482,129.74959,129.74739,134.19661,134.96116,138.88212,135.14488,137.92235,134.62977,127.15604,120.9151,118.05064,114.43161,104.92431,102.20752,98.60863,138.88212,98.60863,119.962936429,119.962936429,12.6103412945,513.659363679,21.824312,39.074208
Spain,293.44941,301.54839,311.7927,301.88425,318.63369,335.16803,326.89252,341.4829,352.35949,379.75588,395.76237,393.33693,411.30022,419.17531,436.29908,451.58346,443.43371,453.22503,421.07543,382.69497,369.56474,371.52789,365.39715,336.51925,338.27641,350.4032,453.22503,293.44941,369.6148875,369.56474,49.0893221725,5539.17298292,-3.74922,40.46366700000001
European Union (28 countries),5716.36362,5614.2469,5442.68781,5346.86175,5327.97319,5381.35945,5494.5187,5398.60188,5360.34634,5255.72545,5270.84703,5324.65898,5278.88827,5366.91369,5375.39509,5345.21417,5338.3274,5293.76417,5179.48137,4803.5855,4909.51755,4758.6646,4693.23977,4598.84519,4423.73839,4451.81256,5716.36362,4423.73839,5174.70288679,5324.65898,362.753363781,851684.03845,0,0
Finland,72.30693,70.01502,68.46827,70.65131,76.19481,72.71002,78.56423,77.18609,73.53979,72.98265,71.07502,76.45974,78.85454,86.38782,82.783,70.87919,82.1981,80.86714,72.97516,69.02147,77.32149,69.67964,64.29389,65.16107,61.0628,57.5389,86.38782,57.5389,72.9680289286,72.9680289286,7.19482257515,185.146024013,25.7481511,61.92410999999999
France,555.77148,581.87224,571.858,549.37675,547.68721,554.62505,571.44554,564.63587,581.1238,569.05134,566.36169,567.2869,561.69593,567.13542,567.22138,569.13521,557.33521,548.91796,541.886,519.49036,527.6821,501.18287,499.92772,497.96685,470.03865,474.60668,581.87224,470.03865,544.186753571,555.77148,33.1854247609,9229.65471749,2.213749,46.227638
Croatia,31.65208,24.46402,22.5943,22.84691,22.01202,22.55625,23.14919,24.40135,24.77216,25.84245,25.45714,26.67087,27.67215,29.0289,29.13496,29.57105,29.87087,31.35111,30.20567,28.22211,27.62551,27.24093,25.45314,24.29035,23.41873,23.8578,31.65208,22.01202,26.3223614286,25.84245,2.95060789115,25.4541120486,15.2000001,45.1
Hungary,94.3968,87.57216,77.60392,78.41422,77.45015,76.0284,78.33362,76.82154,76.41664,76.97602,74.1742,76.26796,74.51094,77.62996,76.69868,76.59085,75.47873,73.69034,71.88164,65.69246,66.12236,64.56942,60.66107,57.90793,58.4147,61.63954,94.3968,57.90793,73.7231778571,76.0284,9.0555465943,210.216565113,19.5033041,47.162494
Ireland,57.18332,57.88557,57.70668,58.41967,59.55504,60.93513,62.93585,64.64374,67.1773,68.53176,70.90429,73.33494,71.42628,71.5711,70.73787,72.50839,72.22102,71.62851,70.74921,64.5026,64.02969,59.66209,59.88296,59.95299,60.00891,62.42533,73.33494,57.18332,65.0370892857,64.5026,5.55850738496,140.272313616,-7.692053599999999,53.1423672
Iceland,3.76186,3.59241,3.45796,3.50312,3.44483,3.51984,3.63837,3.82064,4.01672,4.26524,4.27395,4.18816,4.1861,4.18825,4.28475,4.25699,4.91698,5.14965,5.47095,5.10683,5.02702,4.83085,4.89415,4.95924,5.01384,5.21197,5.47095,3.44483,4.35344464286,4.26524,0.641817695482,0.828018303027,-19.020835,64.963051
Italy,524.11528,526.76849,521.98323,515.25009,507.87837,536.82348,531.06274,536.52218,548.81912,554.96389,560.88757,568.77074,568.5009,584.28367,588.82027,588.31401,579.16635,571.89995,557.99027,504.85004,514.13677,500.60647,479.26454,449.51532,432.51984,442.77762,588.82027,432.51984,529.208261071,531.06274,45.2566585921,9295.38320878,12.56738,41.87194
Liechtenstein,0.22964,0.23711,0.23734,0.24447,0.23102,0.23475,0.23725,0.24978,0.26079,0.25785,0.24863,0.24811,0.25448,0.26471,0.26519,0.26614,0.26982,0.24071,0.26077,0.24618,0.2312,0.21836,0.22789,0.23433,0.20301,0.20059,0.26982,0.20059,0.241804642857,0.241804642857,0.0189207032079,0.0018972435128,9.555373,47.166
Lithuania,48.44285,50.47034,30.94589,24.82661,23.41488,22.44427,23.43978,22.96714,23.9207,21.18768,19.67113,20.50973,20.92552,21.12323,21.97581,23.20793,23.50017,25.63672,24.65521,20.08545,20.92905,21.51292,21.41985,20.16093,20.10524,20.34335,50.47034,19.67113,25.2844232143,22.44427,8.52007422153,78.9246538668,23.881275,55.169438
Luxembourg,13.1375,13.79213,13.53149,13.66273,12.93589,10.63489,10.74398,10.22167,9.50038,10.08008,10.60831,11.17512,12.04344,12.53449,14.03393,14.29914,14.0502,13.57124,13.46662,12.8713,13.47702,13.28867,12.8997,12.36925,12.01034,11.68295,14.29914,9.50038,12.3722135714,12.8713,1.43438492447,5.73719762291,6.129582999999999,49.815273
Latvia,26.40787,24.51854,19.5396,16.12426,14.22347,12.81031,12.8886,12.32691,11.8138,11.02527,10.44447,11.04281,11.02824,11.23557,11.25121,11.49293,12.03429,12.53556,12.11627,11.41363,12.57835,11.80467,11.70988,11.64299,11.54685,11.64993,26.40787,10.44447,13.7163792857,11.8138,4.41171136268,21.5013461242,24.603189,56.879635
Malta,2.59886,2.63411,2.79304,3.1704,3.11255,2.89848,2.98458,3.12991,3.02084,3.14633,3.02947,3.12555,3.14453,3.4148,3.3553,3.28697,3.33831,3.44561,3.48833,3.25755,3.32558,3.43368,3.53986,3.2206,3.26749,2.57887,3.53986,2.57887,3.13786892857,3.14633,0.275942371657,0.32942896965,14.375416,35.937496
Netherlands,226.06049,234.17574,235.63873,237.47727,241.4569,239.1772,250.81848,243.77752,244.27099,231.52755,229.67646,229.64027,227.95757,227.9966,229.84654,225.36311,220.53219,219.71207,219.27239,212.8489,224.45191,210.97683,205.7415,206.14204,198.5012,206.7126,250.81848,198.5012,226.038311786,227.95757,13.9934922543,1593.98002362,5.291265999999999,52.132633
Norway,52.35415,49.92363,48.15706,50.22979,52.10641,51.76902,54.88984,54.89223,55.10768,56.17637,55.5608,56.75538,55.58054,56.16836,56.87202,56.0529,56.01993,57.93057,56.37141,53.7549,56.50169,55.38468,55.20239,55.0465,54.96027,55.44474,57.93057,48.15706,54.4750317857,55.20239,2.55738850491,90.5527711198,8.468945999999999,60.47202399999999
Poland,468.50708,456.71954,443.78467,443.71627,438.2147,439.70421,453.4699,444.56338,413.43087,402.2184,391.37489,390.37099,380.41987,394.28688,399.16332,399.83704,414.49146,415.01923,407.87628,389.94305,408.41671,407.82586,400.59039,397.05269,384.67612,387.73285,468.50708,380.41987,415.083342857,407.87628,25.9943633866,5374.09762249,19.145136,51.919438
Portugal,61.13286,62.93392,67.40603,66.02636,67.08975,71.68197,69.28734,72.60307,77.49494,85.59089,84.52379,84.07114,88.15034,83.21442,86.59274,88.60861,84.00899,81.87701,79.33487,75.92527,72.12045,71.06205,69.17828,67.34608,67.38943,72.08521,88.60861,61.13286,75.2313314286,72.60307,8.47128822673,208.21616976,-8.224454,39.39987199999999
Romania,247.06874,203.74872,187.95233,178.65931,175.06697,181.74136,184.17875,172.16744,152.56212,134.80765,140.5955,147.63066,146.26611,150.92601,149.63029,146.83665,148.312,151.25277,146.23651,127.02213,121.40254,127.43243,124.82109,115.88934,116.03819,117.81004,247.06874,115.88934,155.679061786,148.312,33.5762336441,1554.55127294,24.96676,45.943161
Sweden,72.99059,72.84975,72.16109,72.78032,75.33187,75.23455,78.77303,74.0801,74.54813,71.86738,70.65234,70.89686,71.58153,71.99355,71.18182,68.81003,68.79815,67.34455,65.3482,60.75556,66.68951,62.85535,59.35593,57.80627,56.13409,55.8858,78.77303,55.8858,68.620185,70.89686,6.51289568876,161.759619254,18.643501,60.12816100000001
Slovenia,18.64357,17.31369,17.42343,17.63609,18.03694,18.77818,19.44577,19.79997,19.52884,18.91325,19.16188,20.06405,20.21816,19.9296,20.23857,20.55906,20.74349,20.89846,21.60192,19.65108,19.67639,19.6799,19.10667,18.41398,16.68251,16.90595,21.60192,16.68251,19.1905653571,19.44577,1.32847419054,11.6774742884,14.995463,46.151241
Slovakia,74.52798,64.84564,59.3972,55.88071,53.23016,54.45985,54.85067,54.62423,53.14767,51.85848,49.91081,52.32293,50.34151,50.79297,51.47537,51.53622,51.43884,49.64818,50.37585,45.79606,46.69296,45.59179,43.37262,42.99876,40.79722,41.41509,74.52798,40.79722,52.0233917857,51.47537,7.99555331602,122.329991803,19.699024,48.669026
Turkey,214.52843,221.78056,228.22562,237.71873,231.0621,247.36743,265.22578,276.99975,279.15063,277.93075,298.08567,279.28105,287.24388,306.84239,318.14847,340.51085,364.75149,398.74238,396.87993,406.2282,412.71363,443.17986,456.68316,450.905,465.62184,486.2359,486.2359,214.52843,331.885993214,306.84239,86.9159239457,9171.31370617,35.243322,38.963745
United Kingdom,809.08666,818.4078,799.85113,781.38534,771.7775,765.80274,788.93772,765.35245,765.27615,736.33058,739.77318,742.60626,722.09777,730.08617,729.82726,724.49886,719.95389,708.13141,687.85684,629.00921,643.93127,597.26702,613.23432,597.93449,555.8473,536.90178,818.4078,536.90178,708.445524286,729.82726,81.6048471951,18738.704127,-3.435973,55.378051
